id,en,wikipedia
11167,"The Pinchcliffe Grand Prix",https://en.wikipedia.org/wiki/The%20Pinchcliffe%20Grand%20Prix
11223,"Four Weddings and a Funeral",https://en.wikipedia.org/wiki/Four%20Weddings%20and%20a%20Funeral
11242,"Final Fantasy: The Spirits Within",https://en.wikipedia.org/wiki/Final%20Fantasy%3A%20The%20Spirits%20Within
11520,"Four Feather Falls",https://en.wikipedia.org/wiki/Four%20Feather%20Falls
11585,"Show Me Love",https://en.wikipedia.org/wiki/Show%20Me%20Love%20%28film%29
11701,"Full Metal Jacket",https://en.wikipedia.org/wiki/Full%20Metal%20Jacket
11741,"Fantasy film",https://en.wikipedia.org/wiki/Fantasy%20film
11988,"King Kong vs. Godzilla",https://en.wikipedia.org/wiki/King%20Kong%20vs.%20Godzilla
11992,"Ebirah, Horror of the Deep",https://en.wikipedia.org/wiki/Ebirah%2C%20Horror%20of%20the%20Deep
11993,"Son of Godzilla",https://en.wikipedia.org/wiki/Son%20of%20Godzilla
11994,"Destroy All Monsters",https://en.wikipedia.org/wiki/Destroy%20All%20Monsters
11998,"Godzilla vs. Megalon",https://en.wikipedia.org/wiki/Godzilla%20vs.%20Megalon
12000,"Godzilla vs. Biollante",https://en.wikipedia.org/wiki/Godzilla%20vs.%20Biollante
12001,"Terror of Mechagodzilla",https://en.wikipedia.org/wiki/Terror%20of%20Mechagodzilla
12002,"Godzilla vs. King Ghidorah",https://en.wikipedia.org/wiki/Godzilla%20vs.%20King%20Ghidorah
12003,"Godzilla vs. Mothra",https://en.wikipedia.org/wiki/Godzilla%20vs.%20Mothra
12004,Godzilla,https://en.wikipedia.org/wiki/Godzilla%20%281954%20film%29
12005,"The Return of Godzilla",https://en.wikipedia.org/wiki/The%20Return%20of%20Godzilla
12995,"Gone with the Wind",https://en.wikipedia.org/wiki/Gone%20with%20the%20Wind
13149,"Galaxy Quest",https://en.wikipedia.org/wiki/Galaxy%20Quest
13154,"Glen or Glenda",https://en.wikipedia.org/wiki/Glen%20or%20Glenda
13290,"Harold and Maude",https://en.wikipedia.org/wiki/Harold%20and%20Maude
13535,"Heart of Darkness",https://en.wikipedia.org/wiki/Heart%20of%20Darkness
13554,Hamlet,https://en.wikipedia.org/wiki/Hamlet
13901,Heathers,https://en.wikipedia.org/wiki/Heathers
14311,"Adventures of Huckleberry Finn",https://en.wikipedia.org/wiki/Adventures%20of%20Huckleberry%20Finn
14356,"Huey, Dewey, and Louie",https://en.wikipedia.org/wiki/Huey%2C%20Dewey%2C%20and%20Louie
15055,Ivanhoe,https://en.wikipedia.org/wiki/Ivanhoe
15604,"James Bond",https://en.wikipedia.org/wiki/James%20Bond
15608,"Johnny Got His Gun",https://en.wikipedia.org/wiki/Johnny%20Got%20His%20Gun
16572,"Judge Dredd",https://en.wikipedia.org/wiki/Judge%20Dredd
16782,"King Kong",https://en.wikipedia.org/wiki/King%20Kong%20%281933%20film%29
16802,"The Katzenjammer Kids",https://en.wikipedia.org/wiki/The%20Katzenjammer%20Kids
17307,"Keystone Cops",https://en.wikipedia.org/wiki/Keystone%20Cops
17920,"Monty Python's Life of Brian",https://en.wikipedia.org/wiki/Monty%20Python%27s%20Life%20of%20Brian
18033,"Little Nemo",https://en.wikipedia.org/wiki/Little%20Nemo
18230,"La Jetée",https://en.wikipedia.org/wiki/La%20Jet%C3%A9e
18615,"Left Behind",https://en.wikipedia.org/wiki/Left%20Behind
18866,Macbeth,https://en.wikipedia.org/wiki/Macbeth
18942,"Monty Python",https://en.wikipedia.org/wiki/Monty%20Python
18996,"Mean Streets",https://en.wikipedia.org/wiki/Mean%20Streets
19028,"Martial arts film",https://en.wikipedia.org/wiki/Martial%20arts%20film
19055,"Manufacturing Consent: Noam Chomsky and the Media",https://en.wikipedia.org/wiki/Manufacturing%20Consent%3A%20Noam%20Chomsky%20and%20the%20Media
19701,"Monty Python and the Holy Grail",https://en.wikipedia.org/wiki/Monty%20Python%20and%20the%20Holy%20Grail
19715,"Miss Congeniality",https://en.wikipedia.org/wiki/Miss%20Congeniality%20%28film%29
19859,Moby-Dick,https://en.wikipedia.org/wiki/Moby-Dick
20113,"Mobile Suit Gundam",https://en.wikipedia.org/wiki/Mobile%20Suit%20Gundam
20303,"The Muppets",https://en.wikipedia.org/wiki/The%20Muppets
20669,"My Neighbor Totoro",https://en.wikipedia.org/wiki/My%20Neighbor%20Totoro
20786,"Mulholland Drive",https://en.wikipedia.org/wiki/Mulholland%20Drive%20%28film%29
20859,"Mickey Mouse",https://en.wikipedia.org/wiki/Mickey%20Mouse
21037,"Meet the Feebles",https://en.wikipedia.org/wiki/Meet%20the%20Feebles
21174,"Nanook of the North",https://en.wikipedia.org/wiki/Nanook%20of%20the%20North
21180,"Natural Born Killers",https://en.wikipedia.org/wiki/Natural%20Born%20Killers
21711,"Neon Genesis Evangelion",https://en.wikipedia.org/wiki/Neon%20Genesis%20Evangelion
22216,"O Brother, Where Art Thou?",https://en.wikipedia.org/wiki/O%20Brother%2C%20Where%20Art%20Thou%3F
22460,Othello,https://en.wikipedia.org/wiki/Othello
22727,"Otaku no Video",https://en.wikipedia.org/wiki/Otaku%20no%20Video
22751,"Original Sin",https://en.wikipedia.org/wiki/Original%20Sin%20%282001%20film%29
22829,"Orgy of the Dead",https://en.wikipedia.org/wiki/Orgy%20of%20the%20Dead
23255,"Paths of Glory",https://en.wikipedia.org/wiki/Paths%20of%20Glory
23290,"Propaganda film",https://en.wikipedia.org/wiki/Propaganda%20film
23512,"Patterson–Gimlin film",https://en.wikipedia.org/wiki/Patterson%E2%80%93Gimlin%20film
23880,Psycho,https://en.wikipedia.org/wiki/Psycho%20%281960%20film%29
24162,"Pride and Prejudice",https://en.wikipedia.org/wiki/Pride%20and%20Prejudice
24653,"Princess Mononoke",https://en.wikipedia.org/wiki/Princess%20Mononoke
25491,"The Rocky Horror Picture Show",https://en.wikipedia.org/wiki/The%20Rocky%20Horror%20Picture%20Show
25506,"Raging Bull",https://en.wikipedia.org/wiki/Raging%20Bull
25821,"Romeo and Juliet",https://en.wikipedia.org/wiki/Romeo%20and%20Juliet
25830,"Rosencrantz and Guildenstern Are Dead",https://en.wikipedia.org/wiki/Rosencrantz%20and%20Guildenstern%20Are%20Dead
26324,"Ranma ½",https://en.wikipedia.org/wiki/Ranma%20%C2%BD
26333,Robotech,https://en.wikipedia.org/wiki/Robotech
26541,"Repo Man",https://en.wikipedia.org/wiki/Repo%20Man%20%28film%29
26678,"Star Wars",https://en.wikipedia.org/wiki/Star%20Wars
27079,"Star Trek Generations",https://en.wikipedia.org/wiki/Star%20Trek%20Generations
27097,"Star Trek: First Contact",https://en.wikipedia.org/wiki/Star%20Trek%3A%20First%20Contact
27098,"Star Trek II: The Wrath of Khan",https://en.wikipedia.org/wiki/Star%20Trek%20II%3A%20The%20Wrath%20of%20Khan
27159,"Sherlock Holmes",https://en.wikipedia.org/wiki/Sherlock%20Holmes
27490,"Sense and Sensibility",https://en.wikipedia.org/wiki/Sense%20and%20Sensibility
27931,"Sailor Moon",https://en.wikipedia.org/wiki/Sailor%20Moon
27936,Spider-Man,https://en.wikipedia.org/wiki/Spider-Man
27977,"South Park",https://en.wikipedia.org/wiki/South%20Park
28269,"Saving Private Ryan",https://en.wikipedia.org/wiki/Saving%20Private%20Ryan
28327,Stargate,https://en.wikipedia.org/wiki/Stargate%20%28film%29
28381,Superman,https://en.wikipedia.org/wiki/Superman
28623,"Salò, or the 120 Days of Sodom",https://en.wikipedia.org/wiki/Sal%C3%B2%2C%20or%20the%20120%20Days%20of%20Sodom
29084,Slayers,https://en.wikipedia.org/wiki/Slayers
29177,"Spaghetti Western",https://en.wikipedia.org/wiki/Spaghetti%20Western
29645,"Scared to Death",https://en.wikipedia.org/wiki/Scared%20to%20Death
29781,"The Texas Chain Saw Massacre",https://en.wikipedia.org/wiki/The%20Texas%20Chain%20Saw%20Massacre
29782,"The Big Lebowski",https://en.wikipedia.org/wiki/The%20Big%20Lebowski
29785,"The Rock",https://en.wikipedia.org/wiki/The%20Rock%20%28film%29
29798,"The Lord of the Rings",https://en.wikipedia.org/wiki/The%20Lord%20of%20the%20Rings
29838,"The Simpsons",https://en.wikipedia.org/wiki/The%20Simpsons
29942,"The Graduate",https://en.wikipedia.org/wiki/The%20Graduate
29943,"The Breakfast Club",https://en.wikipedia.org/wiki/The%20Breakfast%20Club
30000,"Taxi Driver",https://en.wikipedia.org/wiki/Taxi%20Driver
30006,"The Silence of the Lambs",https://en.wikipedia.org/wiki/The%20Silence%20of%20the%20Lambs%20%28film%29
30007,"The Matrix",https://en.wikipedia.org/wiki/The%20Matrix
30028,"The A-Team",https://en.wikipedia.org/wiki/The%20A-Team
30039,"Triumph of the Will",https://en.wikipedia.org/wiki/Triumph%20of%20the%20Will
30086,"The Incredible Shrinking Man",https://en.wikipedia.org/wiki/The%20Incredible%20Shrinking%20Man
30275,"Night of the Living Dead",https://en.wikipedia.org/wiki/Night%20of%20the%20Living%20Dead
30292,"The Hobbit",https://en.wikipedia.org/wiki/The%20Hobbit
30307,"Twin Peaks",https://en.wikipedia.org/wiki/Twin%20Peaks
30327,"The Terminator",https://en.wikipedia.org/wiki/The%20Terminator
30361,"Tomb Raider",https://en.wikipedia.org/wiki/Tomb%20Raider
30515,"The Big Country",https://en.wikipedia.org/wiki/The%20Big%20Country
30524,"The Year of Living Dangerously",https://en.wikipedia.org/wiki/The%20Year%20of%20Living%20Dangerously%20%28film%29
30575,"12 Monkeys",https://en.wikipedia.org/wiki/12%20Monkeys
30581,"The Crying Game",https://en.wikipedia.org/wiki/The%20Crying%20Game
30582,"The Sixth Sense",https://en.wikipedia.org/wiki/The%20Sixth%20Sense
30625,"The Shawshank Redemption",https://en.wikipedia.org/wiki/The%20Shawshank%20Redemption
30674,"The Terrorist",https://en.wikipedia.org/wiki/The%20Terrorist%20%281997%20film%29
30809,"The Thing",https://en.wikipedia.org/wiki/The%20Thing%20%281982%20film%29
30979,"The Six Million Dollar Man",https://en.wikipedia.org/wiki/The%20Six%20Million%20Dollar%20Man
31067,"The Importance of Being Earnest",https://en.wikipedia.org/wiki/The%20Importance%20of%20Being%20Earnest
31079,"The Wedding Planner",https://en.wikipedia.org/wiki/The%20Wedding%20Planner
31136,Trekkies,https://en.wikipedia.org/wiki/Trekkies%20%28film%29
31153,"The Princess Bride",https://en.wikipedia.org/wiki/The%20Princess%20Bride%20%28film%29
31176,"The Parent Trap",https://en.wikipedia.org/wiki/The%20Parent%20Trap%20%281961%20film%29
31241,Trigun,https://en.wikipedia.org/wiki/Trigun
31338,"The Adventures of Tintin",https://en.wikipedia.org/wiki/The%20Adventures%20of%20Tintin
31351,"The Straight Story",https://en.wikipedia.org/wiki/The%20Straight%20Story
31371,"Seven Samurai",https://en.wikipedia.org/wiki/Seven%20Samurai
31556,"The Magnificent Seven",https://en.wikipedia.org/wiki/The%20Magnificent%20Seven
31557,"The Good, the Bad and the Ugly",https://en.wikipedia.org/wiki/The%20Good%2C%20the%20Bad%20and%20the%20Ugly
31584,"Lord of the Flies",https://en.wikipedia.org/wiki/Lord%20of%20the%20Flies
31607,"The Day After",https://en.wikipedia.org/wiki/The%20Day%20After
31623,"Through the Looking-Glass",https://en.wikipedia.org/wiki/Through%20the%20Looking-Glass
31629,Threads,https://en.wikipedia.org/wiki/Threads
31908,"Until the End of the World",https://en.wikipedia.org/wiki/Until%20the%20End%20of%20the%20World
32252,Unbreakable,https://en.wikipedia.org/wiki/Unbreakable%20%28film%29
32260,U-571,https://en.wikipedia.org/wiki/U-571%20%28film%29
33121,"Wings of Desire",https://en.wikipedia.org/wiki/Wings%20of%20Desire
33124,"Wild Strawberries",https://en.wikipedia.org/wiki/Wild%20Strawberries%20%28film%29
33270,"When Harry Met Sally...",https://en.wikipedia.org/wiki/When%20Harry%20Met%20Sally...
33446,Waterloo,https://en.wikipedia.org/wiki/Waterloo%20%281970%20film%29
33560,"The Wizard of Speed and Time",https://en.wikipedia.org/wiki/The%20Wizard%20of%20Speed%20and%20Time
33816,Watchmen,https://en.wikipedia.org/wiki/Watchmen
33908,"Why We Fight",https://en.wikipedia.org/wiki/Why%20We%20Fight
34130,WarGames,https://en.wikipedia.org/wiki/WarGames
34218,X-Men,https://en.wikipedia.org/wiki/X-Men
36681,"Brave New World",https://en.wikipedia.org/wiki/Brave%20New%20World
37068,"The War Game",https://en.wikipedia.org/wiki/The%20War%20Game
37599,Traffic,https://en.wikipedia.org/wiki/Traffic%20%282000%20film%29
37713,"The Merchant of Venice",https://en.wikipedia.org/wiki/The%20Merchant%20of%20Venice
37737,"The Invisible Man",https://en.wikipedia.org/wiki/The%20Invisible%20Man
37933,"Maison Ikkoku",https://en.wikipedia.org/wiki/Maison%20Ikkoku
38093,"Twenty Thousand Leagues Under the Sea",https://en.wikipedia.org/wiki/Twenty%20Thousand%20Leagues%20Under%20the%20Sea
38249,"Manon Lescaut",https://en.wikipedia.org/wiki/Manon%20Lescaut
38398,"Stargate SG-1",https://en.wikipedia.org/wiki/Stargate%20SG-1
39311,JFK,https://en.wikipedia.org/wiki/JFK%20%28film%29
39732,"The Brady Bunch",https://en.wikipedia.org/wiki/The%20Brady%20Bunch
40672,"Léon: The Professional",https://en.wikipedia.org/wiki/L%C3%A9on%3A%20The%20Professional
41525,Amadeus,https://en.wikipedia.org/wiki/Amadeus
41528,"Forrest Gump",https://en.wikipedia.org/wiki/Forrest%20Gump
41881,"All About Eve",https://en.wikipedia.org/wiki/All%20About%20Eve
41907,"Dick Tracy",https://en.wikipedia.org/wiki/Dick%20Tracy
42053,"Spy film",https://en.wikipedia.org/wiki/Spy%20film
42085,"Flash Gordon",https://en.wikipedia.org/wiki/Flash%20Gordon
42093,"Gentleman's Agreement",https://en.wikipedia.org/wiki/Gentleman%27s%20Agreement
42106,Crossfire,https://en.wikipedia.org/wiki/Crossfire%20%28film%29
42137,"The Greatest Show on Earth",https://en.wikipedia.org/wiki/The%20Greatest%20Show%20on%20Earth
42147,"Midnight Cowboy",https://en.wikipedia.org/wiki/Midnight%20Cowboy
42159,"The Best Years of Our Lives",https://en.wikipedia.org/wiki/The%20Best%20Years%20of%20Our%20Lives
42200,Peanuts,https://en.wikipedia.org/wiki/Peanuts
42222,"Beautiful Girls",https://en.wikipedia.org/wiki/Beautiful%20Girls%20%28film%29
42224,"Anywhere but Here",https://en.wikipedia.org/wiki/Anywhere%20but%20Here%20%28film%29
42225,"Everyone Says I Love You",https://en.wikipedia.org/wiki/Everyone%20Says%20I%20Love%20You
42293,"From Here to Eternity",https://en.wikipedia.org/wiki/From%20Here%20to%20Eternity
42294,"The Lost Weekend",https://en.wikipedia.org/wiki/The%20Lost%20Weekend%20%28film%29
42313,"The Wicker Man",https://en.wikipedia.org/wiki/The%20Wicker%20Man%20%281973%20film%29
42361,"On the Waterfront",https://en.wikipedia.org/wiki/On%20the%20Waterfront
42383,"Going My Way",https://en.wikipedia.org/wiki/Going%20My%20Way
42507,"In the Bedroom",https://en.wikipedia.org/wiki/In%20the%20Bedroom
42609,"Around the World in Eighty Days",https://en.wikipedia.org/wiki/Around%20the%20World%20in%20Eighty%20Days
42645,"The Grapes of Wrath",https://en.wikipedia.org/wiki/The%20Grapes%20of%20Wrath
42856,"The Bridge on the River Kwai",https://en.wikipedia.org/wiki/The%20Bridge%20on%20the%20River%20Kwai
42861,"Chang: A Drama of the Wilderness",https://en.wikipedia.org/wiki/Chang%3A%20A%20Drama%20of%20the%20Wilderness
42863,"A Streetcar Named Desire",https://en.wikipedia.org/wiki/A%20Streetcar%20Named%20Desire
42886,Gattaca,https://en.wikipedia.org/wiki/Gattaca
42906,"The Queen of the Damned",https://en.wikipedia.org/wiki/The%20Queen%20of%20the%20Damned
42993,"Back to the Future",https://en.wikipedia.org/wiki/Back%20to%20the%20Future
43023,"Gulliver's Travels",https://en.wikipedia.org/wiki/Gulliver%27s%20Travels
43040,Gigi,https://en.wikipedia.org/wiki/Gigi
43068,"The Gift of the Magi",https://en.wikipedia.org/wiki/The%20Gift%20of%20the%20Magi
43206,"A Midsummer Night's Dream",https://en.wikipedia.org/wiki/A%20Midsummer%20Night%27s%20Dream
43307,"K-19: The Widowmaker",https://en.wikipedia.org/wiki/K-19%3A%20The%20Widowmaker
43452,"Lawrence of Arabia",https://en.wikipedia.org/wiki/Lawrence%20of%20Arabia%20%28film%29
43564,"Action film",https://en.wikipedia.org/wiki/Action%20film
43566,Heat,https://en.wikipedia.org/wiki/Heat%20%281995%20film%29
43815,"Teenage Mutant Ninja Turtles",https://en.wikipedia.org/wiki/Teenage%20Mutant%20Ninja%20Turtles
43849,"The Apartment",https://en.wikipedia.org/wiki/The%20Apartment
44005,"The English Patient",https://en.wikipedia.org/wiki/The%20English%20Patient
44077,"Captains Courageous",https://en.wikipedia.org/wiki/Captains%20Courageous
44122,"American Beauty",https://en.wikipedia.org/wiki/American%20Beauty%20%281999%20film%29
44210,"The Life of Emile Zola",https://en.wikipedia.org/wiki/The%20Life%20of%20Emile%20Zola
44218,"San Francisco",https://en.wikipedia.org/wiki/San%20Francisco%20%281936%20film%29
44283,"The Big Fisherman",https://en.wikipedia.org/wiki/The%20Big%20Fisherman
44302,"Amélie",https://en.wikipedia.org/wiki/Am%C3%A9lie
44366,"Where the Heart Is",https://en.wikipedia.org/wiki/Where%20the%20Heart%20Is%20%282000%20film%29
44437,"The Great Ziegfeld",https://en.wikipedia.org/wiki/The%20Great%20Ziegfeld
44457,"Green Card",https://en.wikipedia.org/wiki/Green%20Card%20%28film%29
44501,"Cast Away",https://en.wikipedia.org/wiki/Cast%20Away
44696,"It Happened One Night",https://en.wikipedia.org/wiki/It%20Happened%20One%20Night
44749,"In Old Arizona",https://en.wikipedia.org/wiki/In%20Old%20Arizona
44752,"Grand Hotel",https://en.wikipedia.org/wiki/Grand%20Hotel%20%281932%20film%29
44771,"The Hollywood Revue of 1929",https://en.wikipedia.org/wiki/The%20Hollywood%20Revue%20of%201929
44885,"Who's Afraid of Virginia Woolf?",https://en.wikipedia.org/wiki/Who%27s%20Afraid%20of%20Virginia%20Woolf%3F
45126,"Anne of the Thousand Days",https://en.wikipedia.org/wiki/Anne%20of%20the%20Thousand%20Days
45224,"Animal Crackers",https://en.wikipedia.org/wiki/Animal%20Crackers%20%281930%20film%29
45242,Reds,https://en.wikipedia.org/wiki/Reds%20%28film%29
45481,"Soylent Green",https://en.wikipedia.org/wiki/Soylent%20Green
45488,"The Last Laugh",https://en.wikipedia.org/wiki/The%20Last%20Laugh
45568,"The Abyss",https://en.wikipedia.org/wiki/The%20Abyss
45606,"Zorba the Greek",https://en.wikipedia.org/wiki/Zorba%20the%20Greek%20%28film%29
45772,Rocky,https://en.wikipedia.org/wiki/Rocky
46064,"Story of O",https://en.wikipedia.org/wiki/Story%20of%20O
46387,Incubus,https://en.wikipedia.org/wiki/Incubus%20%281966%20film%29
46505,Airplane!,https://en.wikipedia.org/wiki/Airplane%21
46757,"Black Narcissus",https://en.wikipedia.org/wiki/Black%20Narcissus
47542,"Buffy the Vampire Slayer",https://en.wikipedia.org/wiki/Buffy%20the%20Vampire%20Slayer
48064,"Sesame Street",https://en.wikipedia.org/wiki/Sesame%20Street
48648,"Harry Potter and the Philosopher's Stone",https://en.wikipedia.org/wiki/Harry%20Potter%20and%20the%20Philosopher%27s%20Stone
49696,Metropolis,https://en.wikipedia.org/wiki/Metropolis%20%281927%20film%29
49800,"Lara Croft: Tomb Raider",https://en.wikipedia.org/wiki/Lara%20Croft%3A%20Tomb%20Raider
49917,"The Last Man",https://en.wikipedia.org/wiki/The%20Last%20Man
50455,"The Song Remains the Same",https://en.wikipedia.org/wiki/The%20Song%20Remains%20the%20Same%20%28film%29
50486,"French Kiss",https://en.wikipedia.org/wiki/French%20Kiss%20%281995%20film%29
50744,"Return of the Jedi",https://en.wikipedia.org/wiki/Return%20of%20the%20Jedi
50793,"Star Wars: Episode I – The Phantom Menace",https://en.wikipedia.org/wiki/Star%20Wars%3A%20Episode%20I%20%E2%80%93%20The%20Phantom%20Menace
50957,"Star Wars: Episode II – Attack of the Clones",https://en.wikipedia.org/wiki/Star%20Wars%3A%20Episode%20II%20%E2%80%93%20Attack%20of%20the%20Clones
51524,"The Pink Panther",https://en.wikipedia.org/wiki/The%20Pink%20Panther
51563,"The Luzhin Defence",https://en.wikipedia.org/wiki/The%20Luzhin%20Defence
51679,"The Powerpuff Girls",https://en.wikipedia.org/wiki/The%20Powerpuff%20Girls
51787,"The Flintstones",https://en.wikipedia.org/wiki/The%20Flintstones
51888,"Indiana Jones and the Last Crusade",https://en.wikipedia.org/wiki/Indiana%20Jones%20and%20the%20Last%20Crusade
51906,"Breakfast at Tiffany's",https://en.wikipedia.org/wiki/Breakfast%20at%20Tiffany%27s%20%28film%29
52371,Titanic,https://en.wikipedia.org/wiki/Titanic%20%281997%20film%29
52389,"Independence Day",https://en.wikipedia.org/wiki/Independence%20Day%20%281996%20film%29
52390,Armageddon,https://en.wikipedia.org/wiki/Armageddon%20%281998%20film%29
52549,"Star Wars",https://en.wikipedia.org/wiki/Star%20Wars%20%28film%29
52820,"Resident Evil",https://en.wikipedia.org/wiki/Resident%20Evil
52853,"Alice's Adventures in Wonderland",https://en.wikipedia.org/wiki/Alice%27s%20Adventures%20in%20Wonderland
52942,"The Little Girl Who Lives Down the Lane",https://en.wikipedia.org/wiki/The%20Little%20Girl%20Who%20Lives%20Down%20the%20Lane
53085,"Toy Story",https://en.wikipedia.org/wiki/Toy%20Story
53392,"The Twilight Zone",https://en.wikipedia.org/wiki/The%20Twilight%20Zone
53573,"Earth: Final Conflict",https://en.wikipedia.org/wiki/Earth%3A%20Final%20Conflict
53891,Noir,https://en.wikipedia.org/wiki/Noir%20%28anime%29
53925,"Arms and the Man",https://en.wikipedia.org/wiki/Arms%20and%20the%20Man
53964,"The Empire Strikes Back",https://en.wikipedia.org/wiki/The%20Empire%20Strikes%20Back
54030,"Vanilla Sky",https://en.wikipedia.org/wiki/Vanilla%20Sky
54160,"Leaving Las Vegas",https://en.wikipedia.org/wiki/Leaving%20Las%20Vegas
54166,"Raiders of the Lost Ark",https://en.wikipedia.org/wiki/Raiders%20of%20the%20Lost%20Ark
54173,"Pulp Fiction",https://en.wikipedia.org/wiki/Pulp%20Fiction
54175,"Saturday Night Fever",https://en.wikipedia.org/wiki/Saturday%20Night%20Fever
54436,"The Wonderful Wizard of Oz",https://en.wikipedia.org/wiki/The%20Wonderful%20Wizard%20of%20Oz
54540,"Coming to America",https://en.wikipedia.org/wiki/Coming%20to%20America
54832,"Nancy Drew",https://en.wikipedia.org/wiki/Nancy%20Drew
54999,"Forbidden Planet",https://en.wikipedia.org/wiki/Forbidden%20Planet
55325,"Total Recall",https://en.wikipedia.org/wiki/Total%20Recall%20%281990%20film%29
55435,"Wuthering Heights",https://en.wikipedia.org/wiki/Wuthering%20Heights
55438,"Jane Eyre",https://en.wikipedia.org/wiki/Jane%20Eyre
55447,"Star Wars: Episode III – Revenge of the Sith",https://en.wikipedia.org/wiki/Star%20Wars%3A%20Episode%20III%20%E2%80%93%20Revenge%20of%20the%20Sith
55469,Catch-22,https://en.wikipedia.org/wiki/Catch-22
55483,"Robinson Crusoe",https://en.wikipedia.org/wiki/Robinson%20Crusoe
55491,"The Addams Family",https://en.wikipedia.org/wiki/The%20Addams%20Family
55495,"Miller's Crossing",https://en.wikipedia.org/wiki/Miller%27s%20Crossing
55601,"Sleepy Hollow",https://en.wikipedia.org/wiki/Sleepy%20Hollow%20%28film%29
